dataset,method,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,train_time_std
Iris,SOM,0.9266666666666665,0.05962847939999438,0.9326430976430977,0.05668710407263342,0.9266666666666665,0.059628479399994376,0.9261502240449608,0.06010488828715801,0.003897953033447266,0.0002940306925936118
Iris,Random Forest,0.9466666666666667,0.029814239699997188,0.9511784511784512,0.029401092923523543,0.9466666666666667,0.029814239699997202,0.9464317359054201,0.02994637254650744,0.0718259334564209,0.002044328739412296
Digits,SOM,0.8130052615289385,0.023033999719277245,0.8292365077291954,0.01738231520369543,0.813022308022308,0.022699816119267892,0.8105914181381685,0.02104716902681289,0.05623297691345215,0.0012969936671457802
Digits,Random Forest,0.7501346332404829,0.024446031676586263,0.7602478651587657,0.02346276236873035,0.7500510762863705,0.024335231072666517,0.7458648860026255,0.02629965480471108,0.08076577186584473,0.0010303401634320394
MNIST,SOM,0.7042333333333334,0.03927323268532343,0.7239186667990472,0.03127748577929805,0.6987129337911817,0.03943579158966608,0.6991717942054974,0.03846568255771563,11.995573377609253,3.0833619513502204
MNIST,Random Forest,0.6609,0.008159733451528905,0.7020572957448059,0.003323028721598102,0.6515924841523402,0.00806779167349139,0.6310272571493771,0.010802242101644802,0.17274956703186034,0.011136605209787898
Fashion MNIST,SOM,0.6148999999999999,0.02174532197457138,0.6309960611533991,0.021508738217330507,0.6148999999999999,0.02174532197457138,0.6131247067271397,0.02208073019937897,14.850451803207397,4.637994670920539
Fashion MNIST,Random Forest,0.7046333333333333,0.010708673794847103,0.7181608470325107,0.011185827086083781,0.7046333333333333,0.010708673794847114,0.7030896961428625,0.013038657042765966,0.21568989753723145,0.031764506014637275
