dataset,method,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,train_time_std
Iris,SOM,0.9266666666666665,0.05962847939999438,0.9326430976430977,0.05668710407263342,0.9266666666666665,0.059628479399994376,0.9261502240449608,0.06010488828715801,0.004152250289916992,0.0007244419909984422
Iris,Random Forest,0.9466666666666667,0.029814239699997188,0.9511784511784512,0.029401092923523543,0.9466666666666667,0.029814239699997202,0.9464317359054201,0.02994637254650744,0.06368260383605957,0.0010910917584793388
Digits,SOM,0.9192943361188487,0.0194385754347608,0.9231364277325065,0.018742522001890548,0.9191333938980998,0.0194093112903536,0.919265514165321,0.019444366880307137,0.06832785606384277,0.0025521529879591826
Digits,Random Forest,0.9782930981120396,0.006948661310254203,0.9789470936932236,0.006485704693191392,0.978213415095768,0.007081413404309169,0.9782856930981609,0.006969658934985379,0.19429354667663573,0.004643545705453079
MNIST,SOM,0.8476666666666667,0.007516648189186461,0.8471932072954307,0.007614834811125328,0.8454180052150473,0.007731445788814705,0.8454638807846908,0.007788616183047862,13.922486925125122,0.8711765795548903
MNIST,Random Forest,0.9675333333333335,0.0018158254933286473,0.9672992470459082,0.0018466517830903028,0.967260769473264,0.0018214219681753458,0.9672580095194053,0.0018355244654461992,25.619536113739013,4.057411895385116
Fashion MNIST,SOM,0.73215,0.005166801073520586,0.7288840016293557,0.006521050125981137,0.7321500000000001,0.0051668010735205485,0.7265947406224649,0.005331877063531163,18.964570379257204,2.408571259563205
Fashion MNIST,Random Forest,0.8817666666666666,0.0017011025836203924,0.8808763913239883,0.001756466447166109,0.8817666666666668,0.0017011025836204175,0.8802297553473932,0.0015354778627234987,52.27945241928101,3.598090371445202
