Dataset,Método,Accuracy,Precision,Recall,F1,Time (s),Memory (Mb)
Digits,MiniSOM,0.8998000000000002,0.9066000000000001,0.8998000000000002,0.8984,0.24772936740191653,0.28204784393310545
Digits,SOM    ,0.937,0.9396000000000001,0.937,0.9366,0.24647873219801114,0.6243227005004883
Fashion MNIST,MiniSOM,0.7323999999999999,0.7323999999999999,0.7323999999999999,0.729,33.620976613997485,7.83287296295166
Fashion MNIST,SOM    ,0.7388,0.738,0.7388,0.736,34.38520611159911,155.31061286926268
Iris,MiniSOM,0.8802,0.901,0.8802,0.8766,0.016137256400543264,0.030306434631347655
Iris,SOM    ,0.9199999999999999,0.9282,0.9199999999999999,0.9178000000000001,0.016987242802861145,0.052254867553710935
MNIST,MiniSOM,0.8542,0.8552,0.8542,0.8535999999999999,33.9091233065963,7.832879257202149
MNIST,SOM    ,0.8497999999999999,0.852,0.8497999999999999,0.8492,33.44749257619842,155.31060066223145
