Dataset,Método,Accuracy,Precision,Recall,F1,Time (s),Memory (Mb)
Digits,MiniSOM,0.945,0.9461999999999999,0.945,0.9443999999999999,3.526338789200236,0.2819835662841797
Digits,SOM    ,0.96,0.9616,0.96,0.9597999999999999,5.456560989198624,0.7378446578979492
Fashion MNIST,MiniSOM,0.734,0.7318,0.734,0.7295999999999999,491.75611283260076,7.83287296295166
Fashion MNIST,SOM    ,0.742,0.7404,0.742,0.7394000000000001,454.14910537000253,155.31052894592284
Iris,MiniSOM,0.9666,0.9715999999999999,0.9666,0.9666,0.22102043440099806,0.03020820617675781
Iris,SOM    ,0.9199999999999999,0.9246000000000001,0.9199999999999999,0.9196,0.40342208139772995,0.15910472869873046
MNIST,MiniSOM,0.8468,0.849,0.8468,0.8465999999999999,577.5703854394014,7.832857513427735
MNIST,SOM    ,0.8573999999999999,0.8602000000000001,0.8573999999999999,0.8568,435.04456751160177,155.3105167388916
