Dataset,Método,Accuracy,Precision,Recall,F1,Time (s),Memory (Mb)
Digits,MiniSOM,0.8785999999999999,0.8854,0.8785999999999999,0.877,0.10688391440053238,0.2822267532348633
Digits,SOM    ,0.96,0.9616,0.96,0.9597999999999999,5.731410050798149,0.735017967224121
Fashion MNIST,MiniSOM,0.7322,0.7278,0.7322,0.726,20.736797571998615,7.832883834838867
Fashion MNIST,SOM    ,0.742,0.7404,0.742,0.7394000000000001,635.391297770798,155.31052894592284
Iris,MiniSOM,0.8666,0.8872,0.8666,0.8628,0.007601266000710894,0.029954147338867188
Iris,SOM    ,0.9199999999999999,0.9246000000000001,0.9199999999999999,0.9196,0.43018822519952665,0.15953903198242186
MNIST,MiniSOM,0.8518000000000001,0.8526,0.8518000000000001,0.8512000000000001,20.863693474601313,7.832868385314941
MNIST,SOM    ,0.8573999999999999,0.8602000000000001,0.8573999999999999,0.8568,588.5531606064003,155.3105167388916
