Dataset,Method,Trust (mean),Trust (std),Continuity (mean),Continuity (std),C (mean),C (std)
Iris,SOM,0.9428749999999999,0.006338890273827751,0.9399136904761904,0.006780251821840664,0.2650351870411932,0.015714994247055004
Iris,MiniSOM,0.6516220238095238,0.0063860198872223925,0.6116755952380952,0.018290378520647743,2.670369255777515,0.1586271588191729
Digits,SOM,0.9706374802691589,0.0015416782962152323,0.9578633366549922,0.005039717443468572,2.4306571110766098,0.06121662684505777
Digits,MiniSOM,0.9635339543837622,0.0008483418540898695,0.8661992807330956,0.0073663442986448046,7.165092264626372,0.2749746667945423
MNIST,SOM,0.9490927852760735,0.001705804199038021,0.9351009341157642,0.0023321475059143487,15.17263592265049,0.6898619053047581
MNIST,MiniSOM,0.9494764106872944,0.0012796473591065213,0.918189679470081,0.005390113264998184,17.459301671915185,1.0000728291374548
Fashion MNIST,SOM,0.970531272561572,0.00042935506413998946,0.96075676069174,0.0029636491870430725,11.473339342010362,0.3879727115298077
Fashion MNIST,MiniSOM,0.9692132126344802,0.001014688132447262,0.9405035736640881,0.00422706223830881,14.065776480293545,0.29390090891050724
