dataset,method,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,train_time_std
Iris,SOM,0.9266666666666667,0.0641179468722378,0.9309090909090909,0.06039356687686357,0.9266666666666667,0.06411794687223779,0.9271623503202451,0.06304283223889556,0.0038487911224365234,0.00014444486854658673
Iris,Random Forest,0.9466666666666667,0.029814239699997188,0.9511784511784512,0.029401092923523543,0.9466666666666667,0.029814239699997202,0.9464317359054201,0.02994637254650744,0.06903057098388672,0.002524880395806399
Digits,SOM,0.7707397090684,0.03528458780579745,0.8106157375477828,0.030928859954584224,0.7713346708052591,0.03579826609206441,0.7690098582514213,0.035735930924188156,0.05185847282409668,0.00291128141543342
Digits,Random Forest,0.7941132776230269,0.01962206269034055,0.8105504201757121,0.02444366069787614,0.7949958866429455,0.01975229122004721,0.7901773371696479,0.020880166323637754,0.07798910140991211,0.0029708583515051976
MNIST,SOM,0.7558666666666667,0.03391546885681778,0.7716085458881847,0.027565810046523056,0.7510484603598828,0.03427862192840128,0.7499469711739215,0.03444581832119733,9.432524919509888,0.33760306210664437
MNIST,Random Forest,0.7450166666666667,0.0033005681329128546,0.7573441641088782,0.006757485434183891,0.7376332864748458,0.003317864360375959,0.7299584953893812,0.0031003432663331406,0.193742036819458,0.00476142553520103
Fashion MNIST,SOM,0.6554333333333333,0.013631102099406508,0.6674623993417639,0.011741313036013374,0.6554333333333334,0.013631102099406482,0.6546282054732817,0.014639192638747234,10.29803376197815,0.47266748999286645
Fashion MNIST,Random Forest,0.7527333333333333,0.012963276120556018,0.7540653497821778,0.010772156706828899,0.7527333333333333,0.012963276120556035,0.7483476755782659,0.014511018122397433,0.24503021240234374,0.006471571000083186
