dataset,method,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,train_time_std
Iris,SOM,0.6266666666666666,0.0547722557505166,0.45268284347231713,0.05259667439257217,0.6266666666666666,0.0547722557505166,0.516647720095996,0.049507757568969565,0.0027991294860839843,0.00011693192969580874
Iris,Random Forest,0.6666666666666666,0.0,0.5,0.0,0.6666666666666666,0.0,0.5555555555555555,0.0,0.06581835746765137,0.003129245283035677
Digits,SOM,0.7567889198390592,0.038518850606654956,0.8067885559356028,0.02474390625434608,0.7571269336563455,0.037823899041169506,0.7556643086888155,0.04121166086401664,0.03195500373840332,0.0012660055622958264
Digits,Random Forest,0.668373568554627,0.04226660990012783,0.7066968995649846,0.03699216080895247,0.668466929113988,0.04259268256683513,0.6576766095487313,0.053447076204437796,0.0663069248199463,0.0008018172888154172
MNIST,SOM,0.5875666666666668,0.025896522181773983,0.6507397544522886,0.05050018121202817,0.5845047388261216,0.027113878651473754,0.5775890551320304,0.03196005807147058,3.3540786266326905,0.14266614254542942
MNIST,Random Forest,0.5729333333333333,0.025534997769945313,0.6476495642989225,0.01608760868304365,0.564017621623538,0.025477886566680936,0.5361024199275967,0.03662073003422124,0.14321541786193848,0.0017068507301591731
Fashion MNIST,SOM,0.5627666666666666,0.03686619009637727,0.6092638693707937,0.026144422334144282,0.5627666666666666,0.0368661900963773,0.5509313681638952,0.025861076986751847,2.5427168369293214,0.03517756583018178
Fashion MNIST,Random Forest,0.5593333333333333,0.02878819926057669,0.6361657560466809,0.011214422706192257,0.5593333333333333,0.02878819926057665,0.529504107035617,0.03743171696941017,0.14983186721801758,0.0022981734656644486
