Dataset,Método,Accuracy,Precision,Recall,F1,Time (s),Memory (Mb)
Digits,MiniSOM,0.8785999999999999,0.8854,0.8785999999999999,0.877,0.11012806460203137,0.2824832916259766
Digits,SOM    ,0.9194000000000001,0.923,0.9194000000000001,0.9196,0.10222604880109429,0.624599838256836
Fashion MNIST,MiniSOM,0.7322,0.7278,0.7322,0.726,14.735932348796632,7.833083915710449
Fashion MNIST,SOM    ,0.7322,0.7288,0.7322,0.7268,15.139892287596012,155.31151084899903
Iris,MiniSOM,0.8666,0.8872,0.8666,0.8628,0.008013973396737128,0.030202865600585938
Iris,SOM    ,0.9268000000000001,0.9332,0.9268000000000001,0.9262,0.008569260200602002,0.05252361297607422
MNIST,MiniSOM,0.8518000000000001,0.8526,0.8518000000000001,0.8512000000000001,14.819238499595667,7.833090209960938
MNIST,SOM    ,0.8475999999999999,0.8488,0.8475999999999999,0.8474,13.446879403799539,155.31149864196777
