porc,method,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,train_time_std
0.1,SOM,0.8714221603218817,0.03101645235459685,0.8763924164093918,0.0291860620430846,0.8714751558280971,0.030728786373385122,0.8708338850189948,0.030088174878023847,0.05537667274475098,0.0024784439189141894
0.1,Random Forest,0.9148653667595174,0.021178185025378066,0.918457776922879,0.021768923725407858,0.9145302192949252,0.02120290042581785,0.9143344395408439,0.021492338184151968,0.07856101989746093,0.0013336216323288322
0.2,SOM,0.8614051377282574,0.029044690543438334,0.8696793140520637,0.02933934642596043,0.8612376914729856,0.028928427724806523,0.8608920474402506,0.028266274530072983,0.05044436454772949,0.0013618025848472887
0.2,Random Forest,0.8920427112349119,0.024899525316654136,0.8970023779783942,0.024955525745228736,0.8914875716052186,0.025205757280992933,0.8900785974678647,0.02540958911645041,0.07656230926513671,0.002123125884571048
0.3,SOM,0.8608666047663261,0.01512692399632916,0.8684602269775,0.015968404456314426,0.8608606253312135,0.014451564919344084,0.860200600085214,0.014193230458420135,0.0530738353729248,0.004759237246972389
0.3,Random Forest,0.8987124729186011,0.01958991644847539,0.9023696114832033,0.016025075143276557,0.8983952860423449,0.019931476287762297,0.8980848377743762,0.019241292357531616,0.07363553047180176,0.0009586876347435043
0.4,SOM,0.8458635097493037,0.019419608406331276,0.8559445074620715,0.014209392634232485,0.8459746637393696,0.0194089781291164,0.8454157186578655,0.019337912941875937,0.054417085647583005,0.002521383029634017
0.4,Random Forest,0.8936985453419993,0.012172596352505484,0.8968730419055779,0.010313157457044853,0.893532995180054,0.012305252753004677,0.893105051035368,0.011802592924037288,0.0727468490600586,0.001462975825772617
0.5,SOM,0.8235917672547199,0.03404819596451844,0.8415706390730758,0.0230421937851064,0.8238133595780655,0.03342767133095017,0.8234205319682395,0.031725246971169144,0.058278465270996095,0.002521635161918858
0.5,Random Forest,0.8708898173939957,0.014858977362748597,0.8750901747609102,0.016513537744496227,0.8707147399500339,0.015260867106217107,0.8694491332523805,0.014909652566532594,0.0722353458404541,0.0018504426307350903
0.6,SOM,0.8030099040544723,0.03592693573476981,0.8384626096139316,0.018871107246733625,0.8031291038938099,0.03542076852495535,0.8038047097484536,0.03163650721864705,0.05209932327270508,0.0035805340745841095
0.6,Random Forest,0.8447322810275457,0.01671747004538987,0.8553710968001079,0.015526899026905192,0.8442807176924824,0.017163484716049015,0.8429764611782037,0.017208771379410875,0.07143254280090332,0.0009123915717898964
0.7,SOM,0.7184246363354999,0.05735624762900442,0.7791176197877077,0.049910455856923504,0.7187374265021325,0.05652859777367672,0.7201945750145529,0.05731614546723552,0.05097904205322266,0.0022968583320661356
0.7,Random Forest,0.8046626431445374,0.025910811707960113,0.819987407958274,0.022984286558190542,0.8047198879551821,0.02581595180068714,0.8020992604415842,0.02700600182188735,0.07174887657165527,0.0010630290610700855
0.8,SOM,0.6127081398947694,0.06845497734383042,0.7821987694102672,0.06642754875771915,0.6129041562570975,0.06652169405482028,0.6242525247660736,0.06446669720021068,0.0534121036529541,0.001502163845719994
0.8,Random Forest,0.6866651191581554,0.05192182548467334,0.7538528398529183,0.04593964047783054,0.6870690690690692,0.05135680474765574,0.6858005547252712,0.051029971916468374,0.07062234878540039,0.0004806529671413948
0.9,SOM,0.4351887960383782,0.02117449342016562,0.7077070791336416,0.05531033849587884,0.43523640447169853,0.02122264483865373,0.41710075604526464,0.016387358239449784,0.056571340560913085,0.0014732327206086525
0.9,Random Forest,0.48302692664809654,0.02382644133100239,0.6816612691083834,0.04664657251897843,0.4825771569889216,0.022694366341990863,0.4631039788483493,0.0199217512570473,0.06766982078552246,0.001796556857643177
