dataset,method,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,train_time_std
Iris,SOM,0.9266666666666667,0.0641179468722378,0.9309090909090909,0.06039356687686357,0.9266666666666667,0.06411794687223779,0.9271623503202451,0.06304283223889556,0.0038626670837402345,0.0001433327406708904
Iris,Random Forest,0.9466666666666667,0.029814239699997188,0.9511784511784512,0.029401092923523543,0.9466666666666667,0.029814239699997202,0.9464317359054201,0.02994637254650744,0.06711559295654297,0.0035162227446104725
Digits,SOM,0.9198514391829156,0.01917466912478874,0.923941680951698,0.018189311039846525,0.9196739344386403,0.019170083263800035,0.9198848647071024,0.01915349204109408,0.06646232604980469,0.0031471029347654926
Digits,Random Forest,0.9782930981120396,0.006948661310254203,0.9789470936932236,0.006485704693191392,0.978213415095768,0.007081413404309169,0.9782856930981609,0.006969658934985379,0.18532075881958007,0.002545736557161201
MNIST,SOM,0.8476666666666667,0.007516648189186461,0.8471932072954307,0.007614834811125328,0.8454180052150473,0.007731445788814705,0.8454638807846908,0.007788616183047862,12.607723426818847,0.6931728189104535
MNIST,Random Forest,0.9675333333333335,0.0018158254933286473,0.9672992470459082,0.0018466517830903028,0.967260769473264,0.0018214219681753458,0.9672580095194053,0.0018355244654461992,18.033172798156738,0.4763613752882729
Fashion MNIST,SOM,0.73215,0.005166801073520586,0.7288840016293557,0.006521050125981137,0.7321500000000001,0.0051668010735205485,0.7265947406224649,0.005331877063531163,13.870116138458252,0.8852135304288862
Fashion MNIST,Random Forest,0.8817666666666666,0.0017011025836203924,0.8808763913239883,0.001756466447166109,0.8817666666666668,0.0017011025836204175,0.8802297553473932,0.0015354778627234987,42.52534284591675,0.2877116893025065
