Dataset,Method,Memory peak (mean MB),Memory peak (std MB),Train time (mean s),Train time (std s)
Iris,SOM,0.03882465362548828,0.01764181694767499,0.015239191055297852,0.005025148506877645
Iris,MiniSOM,0.02451190948486328,0.003499761964116063,0.014009189605712891,0.0062484064931085945
Digits,SOM,0.6211505889892578,0.011955734917873013,0.09411387443542481,0.007768536588655907
Digits,MiniSOM,0.21692314147949218,0.0018699669341839674,0.10289926528930664,0.014721623589340007
MNIST,SOM,155.30962791442872,1.2207031249999999e-05,9.454141187667847,0.35545109261507335
MNIST,MiniSOM,2.2328441619873045,2.44140625e-05,9.94808497428894,0.4740150379017292
Fashion MNIST,SOM,155.30963497161866,1.6188884867800098e-05,10.207732200622559,0.6055205100331053
Fashion MNIST,MiniSOM,2.2328441619873045,2.44140625e-05,9.674413919448853,0.4044572604531284
